NAME,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Franklin County,2815.0,2960.0,4341.0,2421.0,1189.0,1134.0,642.0,2513.0,3897.0,4456.0,3117.0,5532.0,4501.0,5473.0,7058.0,2356.0,2969.0,1756.0,3265.0,3195.0,1632.0,1901.0,1478.0
Hampden County,27431.0,29513.0,28803.0,19241.0,14699.0,9127.0,7468.0,19367.0,30951.0,30092.0,25528.0,27826.0,30496.0,34031.0,33645.0,12979.0,16745.0,10123.0,13110.0,17212.0,11130.0,9757.0,11416.0
Hampshire County,5127.0,6588.0,7474.0,5295.0,13141.0,8246.0,6707.0,8102.0,8602.0,8823.0,7619.0,9067.0,9591.0,11020.0,10627.0,4856.0,5744.0,4182.0,5382.0,5315.0,3563.0,2288.0,3933.0
Pioneer Valley,35373.0,39061.0,40618.0,26957.0,29029.0,18507.0,14817.0,29982.0,43450.0,43371.0,36264.0,42425.0,44588.0,50524.0,51330.0,20191.0,25458.0,16061.0,21757.0,25722.0,16325.0,13946.0,16827.0
Pioneer Valley Region,32558.0,36101.0,36277.0,24536.0,27840.0,17373.0,14175.0,27469.0,39553.0,38915.0,33147.0,36893.0,40087.0,45051.0,44272.0,17835.0,22489.0,14305.0,18492.0,22527.0,14693.0,12045.0,15349.0
Ashfield,74.0,31.0,100.0,54.0,48.0,22.0,23.0,24.0,40.0,61.0,68.0,141.0,149.0,156.0,143.0,84.0,91.0,67.0,51.0,87.0,30.0,18.0,36.0
Bernardston,101.0,110.0,152.0,64.0,38.0,36.0,0.0,24.0,92.0,128.0,102.0,122.0,151.0,217.0,187.0,54.0,111.0,112.0,87.0,89.0,74.0,61.0,75.0
Buckland,94.0,44.0,69.0,46.0,95.0,10.0,12.0,32.0,96.0,85.0,59.0,146.0,162.0,136.0,142.0,70.0,121.0,91.0,81.0,33.0,95.0,39.0,39.0
Charlemont,72.0,31.0,64.0,24.0,12.0,17.0,8.0,33.0,59.0,70.0,24.0,67.0,79.0,90.0,103.0,46.0,43.0,64.0,41.0,49.0,31.0,51.0,29.0
Colrain,63.0,109.0,63.0,53.0,31.0,16.0,0.0,65.0,114.0,84.0,55.0,107.0,125.0,139.0,213.0,50.0,91.0,48.0,68.0,71.0,33.0,30.0,53.0
Conway,17.0,110.0,173.0,76.0,19.0,13.0,29.0,19.0,22.0,52.0,58.0,164.0,118.0,222.0,210.0,62.0,122.0,44.0,71.0,65.0,47.0,36.0,34.0
Deerfield,181.0,357.0,190.0,240.0,131.0,85.0,33.0,129.0,90.0,373.0,169.0,418.0,494.0,490.0,650.0,87.0,193.0,108.0,168.0,210.0,78.0,109.0,87.0
Erving,71.0,127.0,138.0,85.0,24.0,11.0,18.0,60.0,86.0,128.0,136.0,147.0,147.0,140.0,136.0,44.0,86.0,51.0,53.0,59.0,62.0,26.0,40.0
Gill,58.0,65.0,56.0,36.0,72.0,14.0,22.0,45.0,64.0,144.0,125.0,71.0,92.0,187.0,202.0,100.0,72.0,32.0,27.0,53.0,41.0,38.0,25.0
Greenfield,1021.0,695.0,925.0,625.0,396.0,203.0,164.0,651.0,1262.0,1012.0,965.0,1340.0,1154.0,1078.0,1518.0,605.0,731.0,488.0,597.0,586.0,419.0,485.0,594.0
Hawley,13.0,26.0,11.0,29.0,15.0,0.0,0.0,16.0,28.0,17.0,12.0,14.0,35.0,37.0,41.0,8.0,19.0,21.0,14.0,31.0,14.0,6.0,5.0
Heath,61.0,31.0,40.0,30.0,18.0,18.0,9.0,33.0,24.0,28.0,40.0,26.0,43.0,80.0,47.0,19.0,57.0,21.0,38.0,46.0,14.0,10.0,10.0
Leverett,100.0,94.0,127.0,70.0,21.0,24.0,14.0,41.0,55.0,66.0,147.0,133.0,107.0,134.0,171.0,91.0,125.0,102.0,98.0,114.0,89.0,40.0,30.0
Leyden,20.0,19.0,37.0,27.0,11.0,0.0,0.0,14.0,12.0,27.0,27.0,32.0,49.0,73.0,107.0,42.0,70.0,24.0,20.0,25.0,8.0,2.0,12.0
Monroe,7.0,6.0,2.0,3.0,1.0,0.0,0.0,3.0,14.0,8.0,4.0,5.0,5.0,4.0,14.0,0.0,11.0,0.0,1.0,2.0,6.0,8.0,0.0
Montague,321.0,470.0,473.0,293.0,209.0,53.0,35.0,204.0,608.0,616.0,414.0,576.0,500.0,713.0,624.0,263.0,366.0,268.0,334.0,322.0,181.0,217.0,297.0
New Salem,77.0,47.0,43.0,23.0,7.0,10.0,3.0,23.0,56.0,35.0,36.0,72.0,84.0,92.0,142.0,25.0,61.0,40.0,29.0,61.0,17.0,22.0,20.0
Northfield,114.0,128.0,272.0,155.0,35.0,0.0,0.0,72.0,183.0,179.0,130.0,243.0,271.0,241.0,271.0,151.0,101.0,75.0,83.0,122.0,64.0,28.0,104.0
Orange,339.0,401.0,697.0,251.0,176.0,81.0,74.0,261.0,383.0,497.0,402.0,391.0,581.0,850.0,539.0,280.0,342.0,264.0,234.0,262.0,168.0,153.0,126.0
Rowe,20.0,27.0,46.0,25.0,4.0,0.0,2.0,13.0,27.0,21.0,12.0,17.0,32.0,33.0,41.0,7.0,34.0,24.0,27.0,30.0,12.0,8.0,10.0
Shelburne,76.0,85.0,52.0,67.0,28.0,46.0,16.0,18.0,92.0,103.0,114.0,121.0,106.0,183.0,211.0,79.0,132.0,56.0,91.0,124.0,65.0,64.0,33.0
Shutesbury,35.0,84.0,137.0,99.0,27.0,11.0,2.0,60.0,33.0,76.0,116.0,122.0,92.0,185.0,216.0,81.0,120.0,62.0,59.0,24.0,36.0,21.0,14.0
Sunderland,189.0,78.0,116.0,72.0,34.0,203.0,249.0,576.0,503.0,184.0,150.0,201.0,224.0,164.0,203.0,43.0,186.0,25.0,68.0,51.0,22.0,71.0,68.0
Warwick,25.0,41.0,16.0,17.0,11.0,7.0,8.0,23.0,23.0,25.0,36.0,21.0,48.0,81.0,75.0,43.0,75.0,30.0,18.0,37.0,26.0,25.0,19.0
Wendell,54.0,34.0,53.0,21.0,6.0,1.0,7.0,18.0,61.0,25.0,38.0,63.0,62.0,64.0,87.0,55.0,70.0,37.0,58.0,37.0,23.0,3.0,1.0
Whately,59.0,76.0,73.0,36.0,29.0,28.0,7.0,43.0,62.0,65.0,43.0,119.0,97.0,121.0,128.0,124.0,75.0,46.0,40.0,38.0,18.0,25.0,39.0
Agawam,1378.0,1486.0,1733.0,1147.0,629.0,343.0,289.0,950.0,1697.0,1491.0,1566.0,1927.0,2283.0,2195.0,2403.0,757.0,1240.0,601.0,993.0,1034.0,862.0,722.0,962.0
Blandford,30.0,27.0,64.0,63.0,34.0,17.0,4.0,28.0,33.0,67.0,47.0,71.0,104.0,139.0,129.0,51.0,49.0,46.0,54.0,41.0,13.0,12.0,21.0
Brimfield,107.0,256.0,184.0,185.0,102.0,32.0,25.0,100.0,117.0,280.0,106.0,290.0,300.0,329.0,436.0,90.0,180.0,88.0,202.0,130.0,100.0,16.0,40.0
Chester,98.0,110.0,119.0,48.0,57.0,8.0,23.0,12.0,132.0,76.0,80.0,129.0,113.0,160.0,141.0,71.0,26.0,25.0,41.0,27.0,18.0,15.0,17.0
Chicopee,2858.0,3160.0,2996.0,2139.0,1878.0,766.0,636.0,2130.0,4436.0,4127.0,3072.0,3239.0,3666.0,4204.0,3984.0,1583.0,1910.0,1348.0,1400.0,2255.0,1480.0,1430.0,1489.0
East Longmeadow,954.0,810.0,1195.0,465.0,300.0,202.0,138.0,419.0,670.0,870.0,903.0,942.0,1182.0,1257.0,1252.0,455.0,763.0,356.0,445.0,730.0,389.0,630.0,690.0
Granville,75.0,70.0,104.0,80.0,57.0,14.0,38.0,59.0,80.0,52.0,71.0,109.0,134.0,206.0,108.0,41.0,74.0,70.0,42.0,75.0,30.0,33.0,23.0
Hampden,199.0,143.0,397.0,231.0,105.0,98.0,97.0,153.0,138.0,116.0,280.0,311.0,417.0,497.0,473.0,168.0,215.0,214.0,126.0,287.0,156.0,200.0,158.0
Holland,99.0,103.0,148.0,70.0,65.0,60.0,39.0,77.0,60.0,204.0,108.0,226.0,229.0,270.0,246.0,83.0,69.0,39.0,88.0,78.0,84.0,47.0,6.0
Holyoke,3081.0,2637.0,2347.0,1804.0,1158.0,612.0,594.0,1780.0,3358.0,2519.0,2723.0,2407.0,2651.0,2834.0,2246.0,924.0,1052.0,551.0,724.0,1077.0,1194.0,786.0,1283.0
Longmeadow,724.0,973.0,1262.0,853.0,473.0,164.0,152.0,374.0,292.0,691.0,748.0,963.0,1338.0,1662.0,1134.0,437.0,514.0,360.0,480.0,670.0,512.0,293.0,808.0
Ludlow,1074.0,941.0,1302.0,709.0,494.0,215.0,141.0,722.0,1483.0,823.0,1068.0,1781.0,1516.0,1698.0,1996.0,686.0,947.0,412.0,525.0,966.0,568.0,621.0,660.0
Monson,237.0,333.0,762.0,423.0,124.0,81.0,51.0,334.0,326.0,347.0,360.0,695.0,882.0,869.0,694.0,415.0,420.0,301.0,245.0,339.0,229.0,118.0,128.0
Montgomery,33.0,39.0,54.0,12.0,30.0,13.0,11.0,20.0,44.0,18.0,55.0,55.0,67.0,90.0,95.0,31.0,40.0,21.0,25.0,46.0,17.0,12.0,18.0
Palmer,573.0,701.0,724.0,473.0,274.0,74.0,184.0,346.0,963.0,756.0,588.0,738.0,905.0,980.0,1076.0,230.0,487.0,195.0,580.0,480.0,342.0,196.0,303.0
Russell,88.0,139.0,126.0,34.0,45.0,10.0,4.0,32.0,35.0,98.0,107.0,113.0,138.0,165.0,102.0,46.0,68.0,40.0,49.0,31.0,69.0,13.0,9.0
Southwick,340.0,457.0,845.0,305.0,182.0,68.0,165.0,494.0,291.0,516.0,576.0,631.0,1061.0,768.0,676.0,247.0,352.0,166.0,231.0,358.0,223.0,326.0,362.0
Springfield,10887.0,10996.0,11937.0,7014.0,6075.0,3038.0,3585.0,7729.0,10399.0,10890.0,8156.0,9708.0,9154.0,9663.0,9001.0,3417.0,4499.0,2262.0,3414.0,4336.0,2810.0,2400.0,2577.0
Tolland,9.0,36.0,24.0,13.0,24.0,2.0,9.0,22.0,8.0,20.0,31.0,45.0,29.0,80.0,61.0,36.0,31.0,26.0,16.0,19.0,13.0,7.0,11.0
Wales,83.0,125.0,134.0,99.0,30.0,8.0,7.0,58.0,57.0,93.0,129.0,190.0,111.0,159.0,173.0,43.0,108.0,71.0,62.0,71.0,36.0,14.0,43.0
Westfield,2412.0,2146.0,2252.0,1463.0,2357.0,1174.0,1003.0,2546.0,2469.0,1895.0,2226.0,2420.0,2547.0,2968.0,2861.0,1141.0,1496.0,839.0,1030.0,1531.0,895.0,871.0,938.0
West Springfield,1668.0,1273.0,1805.0,1393.0,685.0,516.0,761.0,997.0,2182.0,1659.0,1568.0,1961.0,1849.0,2066.0,1872.0,986.0,1160.0,571.0,738.0,848.0,816.0,494.0,732.0
Wilbraham,477.0,722.0,1116.0,752.0,440.0,128.0,106.0,397.0,564.0,480.0,542.0,799.0,1423.0,1356.0,1089.0,469.0,614.0,421.0,462.0,705.0,409.0,283.0,691.0
Amherst,874.0,822.0,985.0,730.0,9176.0,4867.0,5017.0,4658.0,1883.0,1085.0,977.0,808.0,884.0,1397.0,1317.0,430.0,702.0,471.0,454.0,603.0,464.0,472.0,406.0
Belchertown,817.0,914.0,1116.0,774.0,391.0,141.0,225.0,569.0,545.0,594.0,970.0,899.0,1491.0,1325.0,1157.0,362.0,633.0,318.0,391.0,509.0,373.0,148.0,176.0
Chesterfield,48.0,70.0,57.0,51.0,18.0,13.0,7.0,90.0,49.0,60.0,50.0,103.0,63.0,160.0,164.0,43.0,52.0,43.0,31.0,43.0,3.0,8.0,30.0
Cummington,42.0,29.0,56.0,47.0,5.0,5.0,7.0,19.0,23.0,36.0,79.0,42.0,83.0,108.0,90.0,14.0,40.0,24.0,34.0,23.0,29.0,30.0,42.0
